query_repository,method,rank,recommended_repository,recommended_description,stars,forks,issues,human_relevance,ndcg_at_5_for_query
bootstrap,graph,1,reveal.js,The HTML Presentation Framework,64590,16687,753,1,0.6776029253390075
bootstrap,graph,2,impress.js,It's a presentation framework based on the power of CSS3 transforms and transitions in modern browsers and inspired by the idea behind prezi.com.,37327,6809,76,1,0.6776029253390075
bootstrap,graph,3,bulma,Modern CSS framework based on Flexbox,47529,3995,377,3,0.6776029253390075
bootstrap,graph,4,tailwindcss,A utility-first CSS framework for rapid UI development.,72109,3753,13,3,0.6776029253390075
bootstrap,graph,5,angular.js,AngularJS - HTML enhanced for web apps!,59090,28096,464,2,0.6776029253390075
django,graph,1,html5-boilerplate,"A professional front-end template for building fast, robust, and adaptable web apps or sites.",55252,12416,8,1,0.7603739868614454
django,graph,2,50projects50days,"50+ mini web projects using HTML, CSS & JS",30720,8108,64,1,0.7603739868614454
django,graph,3,hugo,The world’s fastest framework for building websites.,69075,7354,642,2,0.7603739868614454
django,graph,4,Front-End-Checklist,🗂 The perfect Front-End Checklist for modern websites and meticulous developers,66062,6359,2,1,0.7603739868614454
django,graph,5,aspnetcore,"ASP.NET Core is a cross-platform .NET framework for building modern cloud-based web applications on Windows, Mac, or Linux.",32621,9364,2844,2,0.7603739868614454
flutter,graph,1,awesome-flutter,"An awesome list that curates the best Flutter libraries, tools, tutorials, articles and more.",48506,6504,57,3,0.9876322084609285
flutter,graph,2,AppFlowy,AppFlowy is an open-source alternative to Notion. You are in charge of your data and customizations. Built with Flutter and Rust.,38662,2408,558,2,0.9876322084609285
flutter,graph,3,awesome-android-ui,A curated list of awesome Android UI/UX libraries,47384,10326,27,1,0.9876322084609285
flutter,graph,4,fastlane,🚀 The easiest way to automate building and releasing your iOS and Android apps,37530,5611,532,2,0.9876322084609285
flutter,graph,5,open-source-ios-apps,:iphone: Collaborative List of Open-Source iOS Apps,36431,5176,2,1,0.9876322084609285
freeCodeCamp,graph,1,first-contributions,🚀✨ Help beginners to contribute to open source projects,37762,65211,260,2,0.8715370768264441
freeCodeCamp,graph,2,build-your-own-x,Master programming by recreating your favorite technologies from scratch.,217627,21159,282,3,0.8715370768264441
freeCodeCamp,graph,3,freecodecamp.cn,FCC China open source codebase and curriculum. Learn to code and help nonprofits.,36528,1374,152,3,0.8715370768264441
freeCodeCamp,graph,4,computer-science,:mortar_board: Path to a free self-taught education in Computer Science!,149292,19075,17,3,0.8715370768264441
freeCodeCamp,graph,5,cs-video-courses,List of Computer Science courses with video lectures.,60200,8465,4,3,0.8715370768264441
kubernetes,graph,1,lazydocker,The lazier way to manage everything docker,30477,1053,113,2,0.851826437108253
kubernetes,graph,2,moby,Moby Project - a collaborative project for the container ecosystem to assemble container-based systems,66680,18874,3278,3,0.851826437108253
kubernetes,graph,3,dive,A tool for exploring each layer in a docker image,38433,1538,139,2,0.851826437108253
kubernetes,graph,4,compose,Define and run multi-container applications with Docker,30520,5021,198,3,0.851826437108253
kubernetes,graph,5,netdata,"Monitor your servers, containers, and applications, in high-resolution and in real-time!",65126,5664,359,2,0.851826437108253
linux,graph,1,bitcoin,Bitcoin Core integration/staging tree,71444,35719,666,1,0.7215634034161573
linux,graph,2,act,Run your GitHub Actions locally 🚀,43375,1079,176,1,0.7215634034161573
linux,graph,3,github-cheat-sheet,A list of cool features of Git and GitHub.,42480,5305,31,1,0.7215634034161573
linux,graph,4,resume.github.com,Resumes generated using the GitHub informations,60715,1426,64,0,0.7215634034161573
linux,graph,5,git,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.,47388,25461,153,2,0.7215634034161573
react,graph,1,react-native,A framework for building native applications using React,112057,23820,1649,3,1.0
react,graph,2,ant-design,An enterprise-class UI design language and React UI library,87612,41795,1015,3,1.0
react,graph,3,Semantic-UI,Semantic is a UI component framework based around useful principles from natural language.,50763,5102,1076,2,1.0
react,graph,4,lottie-android,"Render After Effects animations natively on Android and iOS, Web, and React Native",34238,5389,37,2,1.0
react,graph,5,svelte,Cybernetically enhanced web apps,72642,4013,869,1,1.0
tensorflow,graph,1,caffe,Caffe: a fast open framework for deep learning.,33558,18981,1181,3,0.9538828753732315
tensorflow,graph,2,gym,A toolkit for developing and comparing reinforcement learning algorithms.,32743,8589,71,2,0.9538828753732315
tensorflow,graph,3,transformers,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",112153,22276,811,3,0.9538828753732315
tensorflow,graph,4,scikit-learn,scikit-learn: machine learning in Python,55881,24667,2240,3,0.9538828753732315
tensorflow,graph,5,faceswap,Deepfakes Software For All,47086,12647,23,2,0.9538828753732315
transformers,graph,1,bert,TensorFlow code and pre-trained models for BERT,35295,9373,873,3,0.9538828753732315
transformers,graph,2,yolov5,YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite,41715,14627,237,2,0.9538828753732315
transformers,graph,3,TensorFlow-Examples,TensorFlow Tutorial and Examples for Beginners (support TF v1 & v2),42962,15127,217,3,0.9538828753732315
transformers,graph,4,pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,70933,19511,12736,3,0.9538828753732315
transformers,graph,5,caffe,Caffe: a fast open framework for deep learning.,33558,18981,1181,2,0.9538828753732315
vue,graph,1,vuetify,🐉 Vue Component Framework,37958,6895,724,3,1.0
vue,graph,2,nuxt,"Nuxt is an intuitive and extendable way to create type-safe, performant and production-grade full-stack web apps and websites with Vue 3.",47504,4365,964,3,1.0
vue,graph,3,vue-element-admin,:tada: A magical vue admin                                                                https://panjiachen.github.io/vue-element-admin,84040,30201,1310,3,1.0
vue,graph,4,awesome-vue,🎉 A curated list of awesome things related to Vue.js,69509,9447,40,3,1.0
vue,graph,5,element,A Vue.js 2.0 UI Toolkit for Web,53678,14673,2629,3,1.0
bootstrap,hybrid,1,reveal.js,The HTML Presentation Framework,64590,16687,753,1,0.6718306339613731
bootstrap,hybrid,2,hugo,The world’s fastest framework for building websites.,69075,7354,642,2,0.6718306339613731
bootstrap,hybrid,3,50projects50days,"50+ mini web projects using HTML, CSS & JS",30720,8108,64,2,0.6718306339613731
bootstrap,hybrid,4,impress.js,It's a presentation framework based on the power of CSS3 transforms and transitions in modern browsers and inspired by the idea behind prezi.com.,37327,6809,76,1,0.6718306339613731
bootstrap,hybrid,5,tailwindcss,A utility-first CSS framework for rapid UI development.,72109,3753,13,3,0.6718306339613731
django,hybrid,1,hugo,The world’s fastest framework for building websites.,69075,7354,642,2,0.9213963208540731
django,hybrid,2,angular,The modern web developer’s platform,90337,24264,1524,1,0.9213963208540731
django,hybrid,3,html5-boilerplate,"A professional front-end template for building fast, robust, and adaptable web apps or sites.",55252,12416,8,1,0.9213963208540731
django,hybrid,4,Front-End-Checklist,🗂 The perfect Front-End Checklist for modern websites and meticulous developers,66062,6359,2,1,0.9213963208540731
django,hybrid,5,express,"Fast, unopinionated, minimalist web framework for node.",61914,11164,186,2,0.9213963208540731
flutter,hybrid,1,awesome-flutter,"An awesome list that curates the best Flutter libraries, tools, tutorials, articles and more.",48506,6504,57,3,0.9876322084609285
flutter,hybrid,2,fastlane,🚀 The easiest way to automate building and releasing your iOS and Android apps,37530,5611,532,2,0.9876322084609285
flutter,hybrid,3,architecture-samples,A collection of samples to discuss and showcase different architectural tools and patterns for Android apps.,43146,11580,203,1,0.9876322084609285
flutter,hybrid,4,AppFlowy,AppFlowy is an open-source alternative to Notion. You are in charge of your data and customizations. Built with Flutter and Rust.,38662,2408,558,2,0.9876322084609285
flutter,hybrid,5,awesome-android-ui,A curated list of awesome Android UI/UX libraries,47384,10326,27,1,0.9876322084609285
freeCodeCamp,hybrid,1,free-programming-books,:books: Freely available programming books,298393,57194,46,3,0.9762940786437024
freeCodeCamp,hybrid,2,build-your-own-x,Master programming by recreating your favorite technologies from scratch.,217627,21159,282,3,0.9762940786437024
freeCodeCamp,hybrid,3,first-contributions,🚀✨ Help beginners to contribute to open source projects,37762,65211,260,2,0.9762940786437024
freeCodeCamp,hybrid,4,freecodecamp.cn,FCC China open source codebase and curriculum. Learn to code and help nonprofits.,36528,1374,152,3,0.9762940786437024
freeCodeCamp,hybrid,5,developer-roadmap,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",251416,34927,643,3,0.9762940786437024
kubernetes,hybrid,1,moby,Moby Project - a collaborative project for the container ecosystem to assemble container-based systems,66680,18874,3278,3,0.9659238902765536
kubernetes,hybrid,2,lazydocker,The lazier way to manage everything docker,30477,1053,113,2,0.9659238902765536
kubernetes,hybrid,3,compose,Define and run multi-container applications with Docker,30520,5021,198,3,0.9659238902765536
kubernetes,hybrid,4,netdata,"Monitor your servers, containers, and applications, in high-resolution and in real-time!",65126,5664,359,2,0.9659238902765536
kubernetes,hybrid,5,dive,A tool for exploring each layer in a docker image,38433,1538,139,2,0.9659238902765536
linux,hybrid,1,bitcoin,Bitcoin Core integration/staging tree,71444,35719,666,1,0.9060254355346823
linux,hybrid,2,996.ICU,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,267901,21497,16712,0,0.9060254355346823
linux,hybrid,3,github-cheat-sheet,A list of cool features of Git and GitHub.,42480,5305,31,1,0.9060254355346823
linux,hybrid,4,gitignore,A collection of useful .gitignore templates,151549,84060,446,1,0.9060254355346823
linux,hybrid,5,freeCodeCamp,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,374074,33599,248,0,0.9060254355346823
react,hybrid,1,react-native,A framework for building native applications using React,112057,23820,1649,3,1.0
react,hybrid,2,ant-design,An enterprise-class UI design language and React UI library,87612,41795,1015,3,1.0
react,hybrid,3,ionic-framework,"A powerful cross-platform UI toolkit for building native-quality iOS, Android, and Progressive Web Apps with HTML, CSS, and JavaScript.",49487,13666,430,2,1.0
